	data_type	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	upsilon	upsilon_min	upsilon_max	phi	phi_min	phi_max	p	p_min	p_max
6.tree	tree	bdct		0.524299	0.497725	0.551941	0.197277	0.175043	0.221114	0.476651	0.429172	0.524693	10.3369	8.98433	11.8763	0.497748	0.497748	0.497748
7.tree	tree	real	815	0.12944595299434158			0.06890050128125863			0.5479187925195058			1.2119599058981323			0.4610992158731861		
7.tree	tree	bdct		0.143351	0.134454	0.152886	0.100221	0.090919	0.109757	0.465001	0.403243	0.526651	1.4772	1.24943	1.74542	0.461099	0.461099	0.461099
7.tree	tree	bd		0.167161	0.157425	0.177649	0.144719	0.135175	0.155208	0			0.144719			0.461099	0.461099	0.461099
8.tree	tree	bdct		0.351772	0.340125	0.364165	0.072714	0.062069	0.0851109	0.272601	0.240123	0.306698	20.1162	17.2285	23.3626	0.143628	0.143628	0.143628
8.tree	tree	bd		0.391216	0.377498	0.405516	0.158791	0.142766	0.175955	0			0.158791			0.143628	0.143628	0.143628
8.tree	tree	real	953	0.34185642881786177			0.06450409417332968			0.201655142214152			18.82186287978724			0.1436280580971656		
9.tree	tree	bdct		0.597467	0.573002	0.623201	0.099592	0.0818763	0.119617	0.137093	0.106569	0.171643	15.2812	11.4239	20.1109	0.202946	0.202946	0.202946
9.tree	tree	bd		0.608819	0.585076	0.632647	0.152794	0.130262	0.177586	0			0.152794			0.202946	0.202946	0.202946
9.tree	tree	real	654	0.5953967049246581			0.0820004684925884			0.1377925029225467			13.732348648650206			0.2029460587596062		
10.tree	tree	bd		0.153494	0.143963	0.163983	0.153063	0.143559	0.163552	0			0.153063			0.417586	0.417586	0.417586
10.tree	tree	real	718	0.12503125509740987			0.11971182984255468			0.3360301944588567			55.67929562947698			0.4175863436324146		
10.tree	tree	bdct		0.137165	0.128123	0.146701	0.123644	0.115021	0.13318	0.296544	0.254843	0.34051	64.6376	53.3388	77.6334	0.417586	0.417586	0.417586
11.tree	tree	bd		0.503701	0.480136	0.52753	0.11444	0.0993736	0.131604	0			0.11444			0.473583	0.473583	0.473583
11.tree	tree	real	768	0.5054339765615169			0.061874842980798796			0.1281772614529252			12.640451616998527			0.4735825109123588		
11.tree	tree	bdct		0.504487	0.479903	0.530224	0.0726238	0.0608731	0.0859743	0.179627	0.146649	0.215679	13.2073	10.4288	16.6689	0.473583	0.473583	0.473583
12.tree	tree	bdct		1.41043	1.34849	1.47423	0.586056	0.521494	0.65468	0.253662	0.214028	0.295207	20.2923	16.8134	24.4262	0.292203	0.292203	0.292203
12.tree	tree	real	928	1.3523381694404373			0.49962629612378845			0.2798627459044872			16.69950360902658			0.2922032743415614		
12.tree	tree	bd		1.57396	1.50791	1.64252	0.873551	0.802827	0.947873	0			0.873551			0.292203	0.292203	0.292203
